participant_id,synthetic,generated,arm,age_band,gender,education,prior_play,language,consent_ts,enrol_recorded_ts,n_sessions,any_early_end,total_distance_m,mean_distance_m,best_score,mean_score,total_coins,total_obstacles_hit,mean_avg_balance_pct,max_speed_overall,final_AI_DiffMult_last_run,questionnaire_complete,D1_coordination_challenge,D2_play_regularly,F1_matched_ability,F2_progress_motivated,D2_top_two_box,answered_ts,exported_ts
SYN-P015,TRUE,2026-09-13 by simulation for pipeline demonstration,B,25-44,F,degree+,no,en,2026-09-13T03:43:42.138Z,2026-09-13T03:44:52.908Z,2,FALSE,918,459.0,619,614.0,21,4,97.3,15.3,0.85,TRUE,4,4,2,4,TRUE,2026-09-13T03:48:51.405Z,2026-09-13T03:48:59.010Z
SYN-P016,TRUE,2026-09-13 by simulation for pipeline demonstration,A,45-64,M,degree+,no,zh,2026-09-13T03:55:51.774Z,2026-09-13T03:56:59.605Z,3,FALSE,1264,421.3,622,594.7,37,1,97.8,18,1,TRUE,5,4,4,3,TRUE,2026-09-13T04:02:24.875Z,2026-09-13T04:02:43.395Z
SYN-P017,TRUE,2026-09-13 by simulation for pipeline demonstration,A,45-64,F,secondary,no,en,2026-09-13T04:08:38.435Z,2026-09-13T04:09:33.894Z,5,FALSE,2010,402.0,590,560.0,54,11,97.4,16.2,0.9,TRUE,4,3,3,3,FALSE,2026-09-13T04:17:34.930Z,2026-09-13T04:17:48.136Z
SYN-P018,TRUE,2026-09-13 by simulation for pipeline demonstration,B,45-64,M,secondary,no,en,2026-09-13T04:20:48.156Z,2026-09-13T04:21:55.484Z,2,FALSE,918,459.0,659,659.0,30,3,97.6,15.3,0.85,TRUE,3,3,5,4,FALSE,2026-09-13T04:25:50.615Z,2026-09-13T04:26:05.380Z
SYN-P019,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,post-secondary,no,zh,2026-09-13T04:32:39.070Z,2026-09-13T04:33:53.950Z,3,FALSE,1377,459.0,649,615.7,32,1,97.8,15.3,0.85,TRUE,4,1,2,3,FALSE,2026-09-13T04:38:15.597Z,2026-09-13T04:38:23.752Z
SYN-P020,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,M,secondary,no,en,2026-09-13T04:44:14.143Z,2026-09-13T04:45:34.652Z,2,FALSE,918,459.0,649,629.0,24,7,96.8,15.3,0.85,TRUE,3,3,5,3,FALSE,2026-09-13T04:48:56.816Z,2026-09-13T04:49:08.652Z
SYN-P021,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,secondary,no,zh,2026-09-13T04:55:26.265Z,2026-09-13T04:56:13.755Z,3,FALSE,1080,360.0,580,536.7,38,11,96.8,14.4,0.55,TRUE,4,3,5,5,FALSE,2026-09-13T05:01:09.903Z,2026-09-13T05:01:24.025Z
SYN-P022,TRUE,2026-09-13 by simulation for pipeline demonstration,A,45-64,F,secondary,no,en,2026-09-13T05:08:36.983Z,2026-09-13T05:09:49.617Z,4,FALSE,1706,426.5,632,604.0,51,2,97.8,18,1,TRUE,4,5,4,1,TRUE,2026-09-13T05:15:34.132Z,2026-09-13T05:16:00.260Z
SYN-P023,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,M,post-secondary,no,zh,2026-09-13T05:19:26.598Z,2026-09-13T05:20:34.278Z,3,FALSE,1377,459.0,659,655.7,44,13,96.8,15.3,0.85,TRUE,5,2,3,4,FALSE,2026-09-13T05:25:46.803Z,2026-09-13T05:26:06.987Z
SYN-P024,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,secondary,no,en,2026-09-13T05:28:59.048Z,2026-09-13T05:29:43.554Z,4,FALSE,1577,394.2,582,574.2,52,8,97.4,18,0.8,TRUE,4,2,2,4,FALSE,2026-09-13T05:35:28.817Z,2026-09-13T05:35:52.065Z
SYN-P025,TRUE,2026-09-13 by simulation for pipeline demonstration,B,45-64,M,post-secondary,no,zh,2026-09-13T05:40:15.373Z,2026-09-13T05:40:55.079Z,2,FALSE,918,459.0,629,624.0,23,0,98.0,15.3,0.85,TRUE,5,4,4,3,TRUE,2026-09-13T05:45:17.615Z,2026-09-13T05:45:34.993Z
SYN-P026,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,M,post-secondary,no,en,2026-09-13T05:55:17.968Z,2026-09-13T05:56:17.745Z,3,FALSE,977,325.7,611,515.7,42,12,96.8,16.2,0.55,TRUE,4,4,5,2,TRUE,2026-09-13T06:01:03.620Z,2026-09-13T06:01:32.583Z
SYN-P027,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,secondary,no,zh,2026-09-13T06:04:48.070Z,2026-09-13T06:05:26.076Z,2,FALSE,918,459.0,669,669.0,32,4,97.6,15.3,0.85,TRUE,2,4,5,4,TRUE,2026-09-13T06:10:09.677Z,2026-09-13T06:10:30.157Z
SYN-P028,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,M,secondary,no,zh,2026-09-13T06:17:10.450Z,2026-09-13T06:18:18.132Z,3,FALSE,1274,424.7,672,624.7,45,1,97.8,18,1.1,TRUE,5,4,4,3,TRUE,2026-09-13T06:23:34.084Z,2026-09-13T06:23:54.685Z
SYN-P029,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,M,secondary,no,en,2026-09-13T06:28:44.054Z,2026-09-13T06:29:50.033Z,5,FALSE,2295,459.0,709,671.0,81,10,97.5,15.3,0.85,TRUE,5,3,2,4,FALSE,2026-09-13T06:37:32.573Z,2026-09-13T06:37:54.332Z
SYN-P030,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,M,secondary,no,zh,2026-09-13T06:39:51.767Z,2026-09-13T06:40:26.537Z,1,FALSE,459,459.0,639,639.0,13,4,96.9,15.3,0.85,TRUE,5,5,5,4,TRUE,2026-09-13T06:42:44.686Z,2026-09-13T06:43:09.636Z
SYN-P031,TRUE,2026-09-13 by simulation for pipeline demonstration,B,45-64,M,post-secondary,no,zh,2026-09-13T06:51:43.853Z,2026-09-13T06:52:23.009Z,2,FALSE,918,459.0,639,629.0,24,4,97.5,15.3,0.85,TRUE,4,3,4,5,FALSE,2026-09-13T06:56:32.862Z,2026-09-13T06:56:58.129Z
SYN-P032,TRUE,2026-09-13 by simulation for pipeline demonstration,B,45-64,M,degree+,no,zh,2026-09-13T07:05:35.328Z,2026-09-13T07:06:23.252Z,3,FALSE,1377,459.0,679,645.7,41,7,97.3,15.3,0.85,TRUE,2,4,4,3,TRUE,2026-09-13T07:11:30.809Z,2026-09-13T07:11:48.319Z
SYN-P033,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,post-secondary,no,zh,2026-09-13T07:14:48.736Z,2026-09-13T07:15:25.993Z,4,FALSE,1566,391.5,621,576.5,54,11,97.3,16.2,1,TRUE,4,5,4,3,TRUE,2026-09-13T07:21:11.569Z,2026-09-13T07:21:26.994Z
SYN-P034,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,M,secondary,yes,en,2026-09-13T07:25:25.415Z,2026-09-13T07:26:21.664Z,3,FALSE,1377,459.0,659,622.3,34,12,96.9,15.3,0.85,TRUE,1,4,5,4,TRUE,2026-09-13T07:32:02.390Z,2026-09-13T07:32:28.330Z
SYN-P035,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,secondary,no,zh,2026-09-13T07:40:30.579Z,2026-09-13T07:41:31.212Z,3,FALSE,1377,459.0,699,665.7,47,9,97.2,15.3,0.85,TRUE,5,2,4,5,FALSE,2026-09-13T07:46:24.010Z,2026-09-13T07:46:37.947Z
SYN-P036,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,secondary,yes,en,2026-09-13T07:49:34.976Z,2026-09-13T07:50:18.752Z,4,FALSE,1836,459.0,709,654.0,58,12,97.1,15.3,0.85,TRUE,4,3,4,3,FALSE,2026-09-13T07:56:14.988Z,2026-09-13T07:56:26.348Z
SYN-P037,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,degree+,no,zh,2026-09-13T08:00:37.905Z,2026-09-13T08:01:38.416Z,3,FALSE,1377,459.0,689,642.3,40,20,96.2,15.3,0.85,TRUE,4,1,4,3,FALSE,2026-09-13T08:06:25.726Z,2026-09-13T08:06:45.926Z
SYN-P038,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,secondary,no,en,2026-09-13T08:13:24.882Z,2026-09-13T08:14:08.341Z,3,FALSE,1133,377.7,600,561.0,40,9,97.4,16.2,0.8,TRUE,4,3,4,5,FALSE,2026-09-13T08:19:41.654Z,2026-09-13T08:19:55.306Z
SYN-P039,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,secondary,no,zh,2026-09-13T08:23:44.610Z,2026-09-13T08:24:41.416Z,3,FALSE,1124,374.7,620,588.0,49,7,97.3,16.2,0.9,TRUE,4,5,4,4,TRUE,2026-09-13T08:29:55.483Z,2026-09-13T08:30:16.883Z
SYN-P040,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,post-secondary,no,zh,2026-09-13T08:35:33.762Z,2026-09-13T08:36:51.715Z,1,FALSE,346,346.0,526,526.0,13,3,97.3,12.6,0.75,TRUE,4,2,5,5,FALSE,2026-09-13T08:39:22.198Z,2026-09-13T08:39:44.488Z
